,zip_code,latitude,longitude,zip_code_str,county
0,6001,41.787159,-72.852046,06001,4
1,6002,41.84493,-72.740951,06002,4
2,6010,41.681578,-72.940749,06010,4
3,6013,41.749079,-72.948657,06013,4
4,6016,41.901899,-72.547432,06016,1
5,6018,42.024629,-73.309616,06018,3
6,6019,41.857508,-72.902765,06019,4
7,6020,41.834618,-72.928722,06020,4
8,6021,42.017229,-73.104821,06021,3
9,6022,41.865433,-72.927326,06022,4
10,6023,41.61259,-72.720095,06023,4
11,6024,42.012137,-73.274264,06024,3
12,6026,41.929719,-72.745378,06026,4
13,6027,42.00493,-72.915699,06027,4
14,6029,41.914149,-72.445568,06029,1
15,6031,41.955257,-73.316785,06031,3
16,6032,41.731051,-72.857096,06032,4
17,6033,41.707463,-72.538932,06033,1
18,6035,41.960682,-72.803846,06035,4
19,6037,41.605477,-72.778459,06037,4
20,6039,41.952698,-73.458626,06039,3
21,6040,41.761415,-72.525608,06040,1
22,6042,41.802752,-72.521008,06042,1
23,6043,41.764589,-72.437575,06043,1
24,6051,41.665141,-72.769832,06051,4
25,6052,41.655568,-72.803107,06052,4
26,6053,41.688039,-72.793469,06053,4
27,6057,41.841053,-72.998664,06057,4
28,6058,41.969922,-73.178473,06058,3
29,6059,41.957029,-72.942485,06059,4
30,6060,42.009151,-72.847465,06060,4
31,6061,41.8756,-72.96684,06061,4
32,6062,41.673639,-72.859729,06062,4
33,6063,41.925197,-72.971286,06063,4
34,6065,41.974651,-73.007676,06065,4
35,6066,41.837561,-72.45904,06066,1
36,6067,41.656624,-72.661779,06067,4
37,6068,42.007238,-73.422228,06068,3
38,6069,41.860763,-73.449215,06069,3
39,6070,41.875857,-72.809376,06070,4
40,6071,41.992633,-72.453725,06071,1
41,6073,41.664442,-72.55504,06073,1
42,6074,41.83809,-72.577836,06074,1
43,6076,41.984442,-72.263453,06076,1
44,6078,41.991611,-72.651744,06078,4
45,6081,41.905187,-72.772551,06081,4
46,6082,41.983993,-72.555553,06082,1
47,6084,41.883019,-72.358869,06084,1
48,6085,41.748955,-72.889415,06085,4
49,6088,41.917911,-72.583371,06088,1
50,6089,41.833424,-72.824618,06089,4
51,6090,41.946484,-72.863185,06090,4
52,6091,42.026504,-72.980213,06091,4
53,6092,41.873452,-72.860524,06092,4
54,6093,42.013232,-72.71737,06093,4
55,6095,41.871037,-72.675082,06095,4
56,6096,41.92763,-72.659703,06096,4
57,6098,41.956189,-73.086364,06098,3
58,6103,41.767208,-72.674257,06103,4
59,6105,41.774705,-72.705037,06105,4
60,6106,41.748587,-72.696006,06106,4
61,6107,41.752304,-72.758098,06107,4
62,6108,41.780375,-72.623945,06108,4
63,6109,41.702484,-72.669301,06109,4
64,6110,41.732683,-72.733603,06110,4
65,6111,41.686993,-72.730839,06111,4
66,6112,41.793336,-72.695823,06112,4
67,6114,41.740854,-72.670695,06114,4
68,6117,41.78516,-72.763564,06117,4
69,6118,41.748702,-72.609686,06118,4
70,6119,41.763421,-72.727208,06119,4
71,6120,41.790263,-72.664259,06120,4
72,6160,41.766607,-72.691149,06160,4
73,6226,41.708238,-72.208549,06226,1
74,6231,41.632864,-72.367321,06231,1
75,6232,41.732982,-72.374658,06232,1
76,6234,41.793886,-71.953265,06234,6
77,6235,41.79089,-72.12954,06235,6
78,6237,41.693707,-72.305671,06237,1
79,6238,41.780138,-72.343943,06238,1
80,6239,41.79404,-71.854535,06239,6
81,6241,41.853901,-71.847371,06241,6
82,6242,41.895596,-72.093305,06242,6
83,6243,41.84487,-71.805029,06243,6
84,6247,41.767801,-72.075026,06247,6
85,6248,41.688585,-72.408671,06248,1
86,6249,41.632955,-72.24009,06249,7
87,6250,41.772955,-72.198446,06250,1
88,6254,41.621212,-72.142609,06254,7
89,6255,41.991087,-71.901952,06255,6
90,6256,41.732152,-72.157361,06256,6
91,6259,41.871502,-71.987646,06259,6
92,6260,41.908027,-71.870452,06260,6
93,6262,42.019311,-71.948384,06262,6
94,6263,41.835236,-71.899848,06263,6
95,6264,41.69421,-72.100366,06264,6
96,6266,41.673661,-72.172813,06266,7
97,6268,41.800444,-72.24803,06268,1
98,6269,41.804414,-72.293165,06269,1
99,6277,41.958388,-71.84392,06277,6
100,6278,41.897123,-72.171427,06278,6
101,6279,41.897267,-72.251848,06279,1
102,6280,41.690986,-72.130094,06280,6
103,6281,41.973476,-72.014137,06281,6
104,6282,41.94887,-72.08482,06282,6
105,6320,41.34745,-72.101743,06320,7
106,6330,41.63557,-72.077527,06330,7
107,6331,41.69396,-72.009118,06331,6
108,6332,41.731216,-71.902335,06332,6
109,6333,41.386032,-72.229092,06333,7
110,6334,41.544925,-72.173849,06334,7
111,6335,41.434707,-72.058533,06335,7
112,6336,41.580577,-72.195867,06336,7
113,6339,41.441939,-71.990545,06339,7
114,6340,41.357477,-72.04178,06340,7
115,6350,41.648507,-72.068444,06350,7
116,6351,41.589788,-71.948385,06351,7
117,6353,41.464427,-72.149606,06353,7
118,6354,41.708767,-71.855386,06354,6
119,6355,41.366899,-71.976371,06355,7
120,6357,41.327149,-72.215344,06357,7
121,6359,41.470969,-71.872525,06359,7
122,6360,41.54786,-72.089488,06360,7
123,6365,41.518652,-72.006597,06365,7
124,6370,41.466982,-72.189275,06370,7
125,6371,41.362386,-72.323754,06371,5
126,6373,41.677728,-71.796067,06373,6
127,6374,41.681892,-71.910965,06374,6
128,6375,41.406338,-72.123236,06375,7
129,6376,41.29406,-72.25395,06376,7
130,6377,41.730545,-71.819313,06377,6
131,6378,41.383211,-71.908408,06378,7
132,6379,41.363472,-71.853197,06379,7
133,6380,41.563417,-72.051631,06380,7
134,6382,41.468946,-72.122739,06382,7
135,6384,41.579192,-71.831228,06384,6
136,6385,41.36173,-72.156576,06385,7
137,6387,41.741171,-71.913021,06387,6
138,6389,41.564183,-72.129164,06389,7
139,6390,41.27358,-71.969009,06390,7
140,6401,41.344249,-73.069825,06401,0
141,6403,41.443685,-73.051925,06403,0
142,6405,41.285002,-72.793549,06405,0
143,6409,41.351081,-72.420167,06409,5
144,6410,41.511827,-72.903617,06410,0
145,6412,41.411728,-72.487146,06412,5
146,6413,41.29561,-72.529125,06413,5
147,6414,41.572231,-72.552319,06414,5
148,6415,41.550291,-72.348616,06415,5
149,6416,41.616657,-72.661586,06416,5
150,6417,41.367819,-72.477442,06417,5
151,6418,41.326124,-73.082574,06418,0
152,6419,41.374419,-72.578328,06419,5
153,6420,41.489351,-72.25838,06420,7
154,6422,41.468922,-72.684525,06422,5
155,6423,41.457474,-72.389153,06423,5
156,6424,41.560603,-72.502329,06424,5
157,6426,41.351136,-72.397164,06426,5
158,6437,41.331777,-72.696816,06437,5
159,6438,41.455264,-72.504397,06438,5
160,6441,41.467705,-72.582163,06441,5
161,6442,41.341898,-72.433732,06442,5
162,6443,41.344481,-72.624521,06443,5
163,6444,41.562671,-72.933271,06444,0
164,6447,41.636439,-72.454002,06447,1
165,6450,41.535812,-72.775686,06450,0
166,6451,41.541906,-72.823409,06451,0
167,6455,41.514163,-72.717844,06455,5
168,6456,41.51669,-72.553751,06456,5
169,6457,41.548611,-72.656784,06457,5
170,6460,41.214266,-73.050812,06460,0
171,6461,41.239863,-73.075393,06461,0
172,6467,41.567845,-72.899757,06467,0
173,6468,41.339236,-73.222828,06468,2
174,6469,41.510944,-72.443166,06469,5
175,6470,41.395083,-73.317663,06470,2
176,6471,41.332106,-72.780996,06471,0
177,6472,41.382766,-72.775194,06472,0
178,6473,41.381459,-72.856369,06473,0
179,6475,41.299897,-72.382734,06475,5
180,6477,41.284951,-73.024637,06477,0
181,6478,41.444001,-73.147999,06478,0
182,6479,41.57477,-72.9119,06479,0
183,6480,41.598834,-72.589071,06480,5
184,6481,41.536736,-72.697937,06481,5
185,6482,41.408136,-73.242485,06482,0
186,6483,41.385122,-73.083525,06483,0
187,6484,41.304515,-73.139041,06484,0
188,6488,41.47598,-73.229692,06488,0
189,6489,41.614169,-72.869926,06489,4
190,6492,41.458657,-72.804516,06492,0
191,6498,41.303695,-72.478017,06498,5
192,6510,41.306517,-72.926008,06510,0
193,6511,41.31703,-72.927316,06511,0
194,6512,41.278274,-72.875249,06512,0
195,6513,41.316688,-72.870791,06513,0
196,6514,41.376089,-72.943351,06514,0
197,6515,41.328039,-72.97084,06515,0
198,6516,41.272573,-72.964967,06516,0
199,6517,41.34944,-72.907149,06517,0
200,6518,41.430832,-72.912021,06518,0
201,6519,41.293934,-72.932028,06519,0
202,6524,41.422964,-72.994187,06524,0
203,6525,41.363538,-73.003892,06525,0
204,6604,41.18292,-73.208027,06604,2
205,6605,41.161599,-73.217622,06605,2
206,6606,41.21211,-73.206673,06606,2
207,6607,41.170744,-73.168038,06607,2
208,6608,41.186475,-73.181251,06608,2
209,6610,41.209283,-73.164603,06610,2
210,6611,41.267861,-73.213691,06611,2
211,6612,41.264945,-73.300479,06612,2
212,6614,41.232466,-73.129873,06614,0
213,6615,41.171614,-73.13216,06615,2
214,6702,41.556461,-73.045886,06702,0
215,6704,41.588692,-73.03539,06704,0
216,6705,41.547103,-72.992727,06705,0
217,6706,41.532212,-73.025096,06706,0
218,6708,41.550872,-73.068653,06708,0
219,6710,41.569145,-73.045817,06710,0
220,6712,41.499247,-72.975634,06712,0
221,6716,41.595705,-72.969384,06716,0
222,6750,41.723731,-73.268144,06750,3
223,6751,41.635759,-73.211422,06751,3
224,6752,41.520294,-73.361093,06752,3
225,6754,41.775423,-73.362996,06754,3
226,6755,41.650558,-73.479353,06755,3
227,6756,41.849537,-73.234002,06756,3
228,6757,41.743606,-73.459799,06757,3
229,6758,41.673737,-73.245753,06758,3
230,6759,41.75364,-73.212028,06759,3
231,6762,41.530545,-73.121576,06762,0
232,6763,41.694323,-73.209998,06763,3
233,6770,41.488428,-73.053383,06770,0
234,6776,41.60132,-73.422832,06776,3
235,6777,41.691307,-73.334403,06777,3
236,6778,41.71349,-73.111909,06778,3
237,6779,41.596057,-73.081442,06779,0
238,6782,41.651536,-73.042744,06782,0
239,6783,41.555501,-73.296015,06783,3
240,6784,41.576035,-73.491717,06784,3
241,6785,41.695048,-73.464788,06785,3
242,6786,41.672734,-73.018048,06786,0
243,6787,41.67108,-73.085047,06787,3
244,6790,41.834052,-73.131413,06790,3
245,6791,41.761345,-73.060443,06791,3
246,6793,41.633712,-73.288916,06793,3
247,6794,41.649454,-73.323557,06794,3
248,6795,41.623892,-73.126195,06795,3
249,6796,41.866034,-73.342084,06796,3
250,6798,41.561632,-73.206096,06798,3
251,6801,41.369778,-73.389503,06801,2
252,6804,41.469885,-73.393667,06804,2
253,6807,41.056732,-73.592029,06807,2
254,6810,41.374284,-73.457611,06810,2
255,6811,41.422586,-73.478364,06811,2
256,6812,41.480318,-73.486863,06812,2
257,6820,41.076202,-73.48008,06820,2
258,6824,41.173039,-73.280818,06824,2
259,6825,41.196583,-73.243254,06825,2
260,6830,41.037605,-73.624339,06830,2
261,6831,41.088724,-73.658838,06831,2
262,6840,41.160393,-73.500124,06840,2
263,6850,41.126683,-73.447459,06850,2
264,6851,41.138233,-73.401526,06851,2
265,6853,41.066109,-73.437996,06853,2
266,6854,41.08391,-73.426615,06854,2
267,6855,41.08424,-73.394991,06855,2
268,6856,41.111223,-73.42086,06856,2
269,6870,41.024446,-73.57115,06870,2
270,6877,41.310803,-73.499837,06877,2
271,6878,41.030093,-73.583719,06878,2
272,6880,41.133275,-73.348699,06880,2
273,6883,41.22742,-73.366988,06883,2
274,6890,41.148535,-73.287843,06890,2
275,6896,41.305415,-73.392584,06896,2
276,6897,41.211277,-73.440974,06897,2
277,6901,41.053592,-73.538169,06901,2
278,6902,41.059347,-73.544384,06902,2
279,6903,41.136018,-73.571142,06903,2
280,6905,41.088293,-73.542669,06905,2
281,6906,41.071023,-73.522621,06906,2
282,6907,41.100918,-73.520517,06907,2
