,Unnamed: 0,zip_code,latitude,longitude,county
0,0,16914,41.85423,-76.783664,63
1,1,16925,41.948556,-76.783808,63
2,3,18013,40.848762,-75.177293,56
3,45,18077,40.570065,-75.237114,60
4,102,18301,41.042703,-75.175581,30
5,103,18302,41.09655,-75.111107,30
6,107,18324,41.158143,-75.000689,24
7,111,18328,41.228522,-74.973952,22
8,118,18336,41.374716,-74.742761,4
9,119,18337,41.32911,-74.871787,14
10,122,18343,40.898529,-75.110092,56
11,135,18360,40.967382,-75.287972,56
12,137,18371,41.149966,-75.044755,24
13,140,18405,41.599606,-75.103881,3
14,145,18415,41.74353,-75.124268,3
15,146,18417,41.809701,-75.201116,53
16,149,18421,41.66421,-75.492886,48
17,151,18425,41.438445,-75.043141,66
18,154,18428,41.404304,-75.118065,66
19,156,18431,41.61651,-75.257698,3
20,159,18435,41.455609,-74.983238,34
21,165,18443,41.662927,-75.102094,3
22,177,18458,41.395754,-74.919254,14
23,180,18461,41.929003,-75.327674,53
24,186,18469,41.703684,-75.130492,3
25,187,18470,41.724706,-75.535516,48
26,189,18472,41.58341,-75.396687,48
27,247,18810,41.933295,-76.50713,20
28,253,18821,41.989756,-75.722751,64
29,261,18830,41.959087,-76.114452,12
30,265,18834,41.830967,-75.720934,37
31,266,18837,41.915054,-76.302838,20
32,267,18840,41.971552,-76.534965,20
33,273,18847,41.92882,-75.579031,64
34,275,18850,41.854257,-76.462384,20
35,280,18902,40.352134,-75.09568,47
36,286,18920,40.497718,-75.084034,60
37,294,18938,40.351048,-74.998049,47
38,295,18940,40.261315,-74.937775,47
39,298,18947,40.422899,-75.117839,60
40,306,18966,40.188468,-75.009898,58
41,312,18977,40.286862,-74.882113,47
42,314,19001,40.125912,-75.125442,6
43,315,19002,40.187195,-75.206891,2
44,316,19003,40.001553,-75.298929,19
45,317,19004,40.009753,-75.231508,10
46,319,19007,40.113179,-74.85765,25
47,320,19008,39.972605,-75.360258,32
48,322,19010,40.023624,-75.329727,19
49,323,19012,40.059767,-75.10588,26
50,324,19013,39.848281,-75.377981,27
51,325,19014,39.864907,-75.432958,36
52,326,19015,39.868633,-75.392945,27
53,328,19018,39.923075,-75.298595,44
54,329,19020,40.100591,-74.938934,21
55,330,19021,40.089651,-74.892183,21
56,331,19022,39.86144,-75.337022,27
57,332,19023,39.91714,-75.267387,7
58,333,19025,40.146444,-75.161987,62
59,334,19026,39.950318,-75.304042,44
60,335,19027,40.073118,-75.124431,17
61,336,19029,39.868372,-75.292374,11
62,337,19030,40.180468,-74.837263,25
63,338,19031,40.109155,-75.217005,35
64,339,19032,39.891296,-75.278777,41
65,340,19033,39.890882,-75.328434,39
66,341,19034,40.134266,-75.204847,35
67,342,19035,40.051349,-75.277642,55
68,343,19036,39.903578,-75.293355,41
69,344,19038,40.100418,-75.171761,31
70,346,19041,40.007406,-75.315837,19
71,349,19046,40.101404,-75.105519,57
72,350,19047,40.180089,-74.911873,21
73,351,19050,39.937537,-75.263665,7
74,352,19053,40.153918,-74.974991,58
75,353,19054,40.173024,-74.818822,25
76,354,19055,40.150307,-74.839218,25
77,355,19056,40.149339,-74.885815,21
78,356,19057,40.140815,-74.85404,25
79,357,19060,39.849996,-75.49369,36
80,358,19061,39.82883,-75.435069,36
81,359,19063,39.92046,-75.416182,32
82,360,19064,39.933156,-75.340813,44
83,361,19066,40.002583,-75.249064,10
84,362,19067,40.206218,-74.81844,25
85,363,19070,39.906248,-75.324733,39
86,364,19072,40.023891,-75.257741,33
87,365,19073,39.983259,-75.429241,32
88,366,19074,39.88599,-75.295756,11
89,367,19075,40.11388,-75.185031,31
90,368,19076,39.886097,-75.30737,11
91,369,19078,39.874378,-75.322125,39
92,370,19079,39.898781,-75.26707,41
93,371,19081,39.898048,-75.347159,39
94,372,19082,39.960411,-75.270393,7
95,373,19083,39.977025,-75.312066,18
96,374,19085,40.036973,-75.349913,5
97,375,19086,39.890631,-75.370032,27
98,376,19087,40.061872,-75.402461,5
99,378,19094,39.874881,-75.346642,27
100,379,19095,40.086002,-75.151408,31
101,380,19096,39.997882,-75.274178,54
102,381,19102,39.952783,-75.165586,46
103,382,19103,39.952896,-75.174298,46
104,383,19104,39.95852,-75.198857,29
105,384,19106,39.948629,-75.142789,46
106,385,19107,39.951735,-75.158654,46
107,387,19111,40.060612,-75.080176,26
108,390,19114,40.069399,-75.000162,23
109,391,19115,40.090698,-75.042868,8
110,392,19116,40.115569,-75.013276,8
111,393,19118,40.073872,-75.211217,42
112,394,19119,40.053348,-75.191112,9
113,395,19120,40.034147,-75.119198,43
114,396,19121,39.98198,-75.17912,16
115,397,19122,39.977746,-75.145899,15
116,398,19123,39.964489,-75.145802,46
117,399,19124,40.017119,-75.092814,1
118,400,19125,39.976249,-75.125105,13
119,401,19126,40.05539,-75.13756,17
120,402,19127,40.028146,-75.227549,10
121,403,19128,40.048483,-75.227934,42
122,404,19129,40.013014,-75.185402,45
123,405,19130,39.967935,-75.176073,46
124,406,19131,39.990184,-75.217795,10
125,407,19132,39.996262,-75.170855,16
126,408,19133,39.993092,-75.141671,15
127,409,19134,39.989604,-75.109091,13
128,410,19135,40.02211,-75.048534,40
129,411,19136,40.039406,-75.018555,23
130,412,19137,39.993096,-75.071978,1
131,413,19138,40.056002,-75.159048,9
132,414,19139,39.961352,-75.229334,50
133,415,19140,40.012177,-75.145495,15
134,416,19141,40.037574,-75.145697,43
135,417,19142,39.921752,-75.233279,52
136,418,19143,39.942579,-75.225905,50
137,419,19144,40.033858,-75.174075,45
138,420,19145,39.909857,-75.198265,49
139,421,19146,39.939496,-75.184146,0
140,422,19147,39.935327,-75.152489,59
141,423,19148,39.911612,-75.151475,59
142,424,19149,40.037722,-75.065768,40
143,425,19150,40.072495,-75.171824,9
144,426,19151,39.97957,-75.257036,54
145,427,19152,40.060946,-75.046985,40
146,428,19153,39.893446,-75.229648,38
147,429,19154,40.096483,-74.983217,8
148,430,19301,40.040279,-75.480341,61
149,432,19311,39.821095,-75.771347,51
150,433,19312,40.031291,-75.454948,61
151,435,19317,39.8608,-75.599381,65
152,436,19319,39.924558,-75.520943,65
153,439,19333,40.041872,-75.423597,5
154,442,19342,39.904122,-75.499422,36
155,446,19348,39.87028,-75.712913,28
156,447,19350,39.760276,-75.796353,51
157,449,19355,40.046452,-75.532998,61
158,460,19382,39.927665,-75.613166,65
159,470,19428,40.080337,-75.300461,55
160,477,19444,40.087755,-75.253168,55
161,484,19462,40.115345,-75.28199,55
